id,sensorId,observationDate,julianDateUTC,verticalPosition,temperature,qualityFlag,qartodFlags
10393013,2371,2023-04-11 17:31:00.000,2023101.229861,-1.00,19.89,3,0000-0000-0000
10393142,2371,2023-04-11 18:31:00.000,2023101.271527,-1.00,19.96,3,0000-0000-0000
10393281,2371,2023-04-11 19:31:00.000,2023101.313194,-1.00,19.95,3,0000-0000-0000
10393400,2371,2023-04-11 20:31:00.000,2023101.354861,-1.00,19.96,3,0000-0000-0000
10393519,2371,2023-04-11 21:31:00.000,2023101.396527,-1.00,19.94,3,0000-0000-0000
10393698,2371,2023-04-11 22:31:00.000,2023101.438194,-1.00,19.96,3,0000-0000-0000
10393837,2371,2023-04-11 23:31:00.000,2023101.479861,-1.00,19.94,3,0000-0000-0000
10393976,2371,2023-04-12 00:31:00.000,2023101.521527,-1.00,19.84,3,0000-0000-0000
10394115,2371,2023-04-12 01:31:00.000,2023101.563194,-1.00,19.80,3,0000-0000-0000
10394254,2371,2023-04-12 02:31:00.000,2023101.604861,-1.00,19.78,3,0000-0000-0000
10394388,2371,2023-04-12 03:31:00.000,2023101.646527,-1.00,19.80,3,0000-0000-0000
10394520,2371,2023-04-12 04:31:00.000,2023101.688194,-1.00,19.74,3,0000-0000-0000
10394647,2371,2023-04-12 05:31:00.000,2023101.729861,-1.00,19.55,3,0000-0000-0000
10394786,2371,2023-04-12 06:31:00.000,2023101.771527,-1.00,19.60,3,0000-0000-0000
10394923,2371,2023-04-12 07:31:00.000,2023101.813194,-1.00,19.64,3,0000-0000-0000
10395044,2371,2023-04-12 08:31:00.000,2023101.854861,-1.00,19.59,3,0000-0000-0000
10395160,2371,2023-04-12 09:31:00.000,2023101.896527,-1.00,19.65,3,0000-0000-0000
10395601,2371,2023-04-12 10:31:00.000,2023101.938194,-1.00,19.74,3,0000-0000-0000
10395602,2371,2023-04-12 11:31:00.000,2023101.979861,-1.00,19.82,3,0000-0000-0000
10395603,2371,2023-04-12 12:31:00.000,2023102.021527,-1.00,19.88,3,0000-0000-0000
10395705,2371,2023-04-12 13:31:00.000,2023102.063194,-1.00,19.91,3,0000-0000-0000
10395822,2371,2023-04-12 14:31:00.000,2023102.104861,-1.00,19.99,3,0000-0000-0000
10395933,2371,2023-04-12 15:31:00.000,2023102.146527,-1.00,20.05,3,0000-0000-0000
10396061,2371,2023-04-12 16:31:00.000,2023102.188194,-1.00,20.04,3,0000-0000-0000
10396177,2371,2023-04-12 17:31:00.000,2023102.229861,-1.00,20.04,3,0000-0000-0000
10396283,2371,2023-04-12 18:31:00.000,2023102.271527,-1.00,20.02,3,0000-0000-0000
10396415,2371,2023-04-12 19:31:00.000,2023102.313194,-1.00,20.01,3,0000-0000-0000
10396547,2371,2023-04-12 20:31:00.000,2023102.354861,-1.00,20.01,3,0000-0000-0000
10396674,2371,2023-04-12 21:31:00.000,2023102.396527,-1.00,19.99,3,0000-0000-0000
10396801,2371,2023-04-12 22:31:00.000,2023102.438194,-1.00,19.96,3,0000-0000-0000
10396906,2371,2023-04-12 23:31:00.000,2023102.479861,-1.00,19.92,3,0000-0000-0000
10397063,2371,2023-04-13 00:31:00.000,2023102.521527,-1.00,19.91,3,0000-0000-0000
10397180,2371,2023-04-13 01:31:00.000,2023102.563194,-1.00,19.89,3,0000-0000-0000
10397297,2371,2023-04-13 02:31:00.000,2023102.604861,-1.00,19.88,3,0000-0000-0000
10397414,2371,2023-04-13 03:31:00.000,2023102.646527,-1.00,19.80,3,0000-0000-0000
10397541,2371,2023-04-13 04:31:00.000,2023102.688194,-1.00,19.80,3,0000-0000-0000
10397658,2371,2023-04-13 05:31:00.000,2023102.729861,-1.00,19.76,3,0000-0000-0000
10397815,2371,2023-04-13 06:31:00.000,2023102.771527,-1.00,19.71,3,0000-0000-0000
10397932,2371,2023-04-13 07:31:00.000,2023102.813194,-1.00,19.68,3,0000-0000-0000
10397966,2371,2023-04-13 08:31:00.000,2023102.854861,-1.00,19.68,3,0000-0000-0000
10398259,2371,2023-04-13 09:31:00.000,2023102.896527,-1.00,19.72,3,0000-0000-0000
10398393,2371,2023-04-13 10:31:00.000,2023102.938194,-1.00,19.84,3,0000-0000-0000
10398512,2371,2023-04-13 11:31:00.000,2023102.979861,-1.00,20.03,3,0000-0000-0000
10398655,2371,2023-04-13 12:31:00.000,2023103.021527,-1.00,20.18,3,0000-0000-0000
10398794,2371,2023-04-13 13:31:00.000,2023103.063194,-1.00,20.30,3,0000-0000-0000
10398933,2371,2023-04-13 14:31:00.000,2023103.104861,-1.00,20.42,3,0000-0000-0000
10399072,2371,2023-04-13 15:31:00.000,2023103.146527,-1.00,20.42,3,0000-0000-0000
10399191,2371,2023-04-13 16:31:00.000,2023103.188194,-1.00,20.42,3,0000-0000-0000
10399310,2371,2023-04-13 17:31:00.000,2023103.229861,-1.00,20.33,3,0000-0000-0000
10399417,2371,2023-04-13 18:31:00.000,2023103.271527,-1.00,20.22,3,0000-0000-0000
10399536,2371,2023-04-13 19:31:00.000,2023103.313194,-1.00,20.25,3,0000-0000-0000
10399655,2371,2023-04-13 20:31:00.000,2023103.354861,-1.00,20.11,3,0000-0000-0000
10399762,2371,2023-04-13 21:31:00.000,2023103.396527,-1.00,20.04,3,0000-0000-0000
10399881,2371,2023-04-13 22:31:00.000,2023103.438194,-1.00,19.99,3,0000-0000-0000
10400000,2371,2023-04-13 23:31:00.000,2023103.479861,-1.00,19.97,3,0000-0000-0000
10400104,2371,2023-04-14 00:31:00.000,2023103.521527,-1.00,19.81,3,0000-0000-0000
10400225,2371,2023-04-14 01:31:00.000,2023103.563194,-1.00,19.54,3,0000-0000-0000
10400349,2371,2023-04-14 02:31:00.000,2023103.604861,-1.00,19.59,3,0000-0000-0000
10400468,2371,2023-04-14 03:31:00.000,2023103.646527,-1.00,19.63,3,0000-0000-0000
10400587,2371,2023-04-14 04:31:00.000,2023103.688194,-1.00,19.62,3,0000-0000-0000
10400706,2371,2023-04-14 05:31:00.000,2023103.729861,-1.00,19.60,3,0000-0000-0000
10400813,2371,2023-04-14 06:31:00.000,2023103.771527,-1.00,19.58,3,0000-0000-0000
10400925,2371,2023-04-14 07:31:00.000,2023103.813194,-1.00,19.62,3,0000-0000-0000
10401004,2371,2023-04-14 08:31:00.000,2023103.854861,-1.00,19.67,3,0000-0000-0000
10401181,2371,2023-04-14 09:31:00.000,2023103.896527,-1.00,19.70,3,0000-0000-0000
10401320,2371,2023-04-14 10:31:00.000,2023103.938194,-1.00,19.76,3,0000-0000-0000
10401439,2371,2023-04-14 11:31:00.000,2023103.979861,-1.00,19.84,3,0000-0000-0000
10401574,2371,2023-04-14 12:49:30.000,2023104.034375,-1.00,19.85,3,0000-0000-0000
10401831,2371,2023-04-14 13:49:30.000,2023104.076041,-1.00,19.91,3,0000-0000-0000
10401832,2371,2023-04-14 14:49:30.000,2023104.117708,-1.00,19.92,3,0000-0000-0000
10401899,2371,2023-04-14 15:49:30.000,2023104.159375,-1.00,19.90,3,0000-0000-0000
10401978,2371,2023-04-14 16:49:30.000,2023104.201041,-1.00,19.89,3,0000-0000-0000
10402057,2371,2023-04-14 17:49:30.000,2023104.242708,-1.00,19.86,3,0000-0000-0000
10402436,2371,2023-04-14 18:49:30.000,2023104.284375,-1.00,19.86,3,0000-0000-0000
10402575,2371,2023-04-14 19:49:30.000,2023104.326041,-1.00,19.81,3,0000-0000-0000
10402694,2371,2023-04-14 20:49:30.000,2023104.367708,-1.00,19.78,3,0000-0000-0000
10402813,2371,2023-04-14 21:49:30.000,2023104.409375,-1.00,19.76,3,0000-0000-0000
10402992,2371,2023-04-14 22:49:30.000,2023104.451041,-1.00,19.74,3,0000-0000-0000
10403111,2371,2023-04-14 23:49:30.000,2023104.492708,-1.00,19.74,3,0000-0000-0000
10403270,2371,2023-04-15 00:49:30.000,2023104.534375,-1.00,19.73,3,0000-0000-0000
10403409,2371,2023-04-15 01:49:30.000,2023104.576041,-1.00,19.70,3,0000-0000-0000
10403548,2371,2023-04-15 02:49:30.000,2023104.617708,-1.00,19.63,3,0000-0000-0000
10403687,2371,2023-04-15 03:49:30.000,2023104.659375,-1.00,19.61,3,0000-0000-0000
10403826,2371,2023-04-15 04:49:30.000,2023104.701041,-1.00,19.52,3,0000-0000-0000
10403965,2371,2023-04-15 05:49:30.000,2023104.742708,-1.00,19.48,3,0000-0000-0000
10404104,2371,2023-04-15 06:49:30.000,2023104.784375,-1.00,19.49,3,0000-0000-0000
10404243,2371,2023-04-15 07:49:30.000,2023104.826041,-1.00,19.49,3,0000-0000-0000
10404382,2371,2023-04-15 08:49:30.000,2023104.867708,-1.00,19.59,3,0000-0000-0000
10404521,2371,2023-04-15 09:49:30.000,2023104.909375,-1.00,19.59,3,0000-0000-0000
10404660,2371,2023-04-15 10:49:30.000,2023104.951041,-1.00,19.57,3,0000-0000-0000
10404799,2371,2023-04-15 11:49:30.000,2023104.992708,-1.00,19.58,3,0000-0000-0000
10404938,2371,2023-04-15 12:49:30.000,2023105.034375,-1.00,19.60,3,0000-0000-0000
10405065,2371,2023-04-15 13:49:30.000,2023105.076041,-1.00,19.61,3,0000-0000-0000
10405204,2371,2023-04-15 14:49:30.000,2023105.117708,-1.00,19.62,3,0000-0000-0000
10405343,2371,2023-04-15 15:49:30.000,2023105.159375,-1.00,19.61,3,0000-0000-0000
10405482,2371,2023-04-15 16:49:30.000,2023105.201041,-1.00,19.61,3,0000-0000-0000
10405621,2371,2023-04-15 17:49:30.000,2023105.242708,-1.00,19.61,3,0000-0000-0000
10405760,2371,2023-04-15 18:49:30.000,2023105.284375,-1.00,19.57,3,0000-0000-0000
10405899,2371,2023-04-15 19:49:30.000,2023105.326041,-1.00,19.52,3,0000-0000-0000
10406038,2371,2023-04-15 20:49:30.000,2023105.367708,-1.00,19.50,3,0000-0000-0000
10406173,2371,2023-04-15 21:49:30.000,2023105.409375,-1.00,19.44,3,0000-0000-0000
10406315,2371,2023-04-15 22:49:30.000,2023105.451041,-1.00,19.42,3,0000-0000-0000
10406454,2371,2023-04-15 23:49:30.000,2023105.492708,-1.00,19.44,3,0000-0000-0000
10406593,2371,2023-04-16 00:49:30.000,2023105.534375,-1.00,19.39,3,0000-0000-0000
