id,sensorId,observationDate,julianDateUTC,verticalPosition,windSpeed,windDirection,windGust,qualityFlag,qartodFlags
1001795,3070,2023-08-12 00:21:13.000,2023223.514734,2.00,12.64,229.8,15.10,3,0000-0000-0000
1001805,3070,2023-08-12 00:51:13.000,2023223.535567,2.00,8.12,210.8,11.50,3,0000-0000-0000
1001810,3070,2023-08-12 01:21:13.000,2023223.556400,2.00,10.73,224.4,13.40,3,0000-0000-0000
1001817,3070,2023-08-12 01:51:13.000,2023223.577234,2.00,9.90,223.7,12.30,3,0000-0000-0000
1001820,3070,2023-08-12 02:21:13.000,2023223.598067,2.00,10.41,227.4,12.00,3,0000-0000-0000
1001833,3070,2023-08-12 02:51:13.000,2023223.618900,2.00,8.66,219.6,11.40,3,0000-0000-0000
1001836,3070,2023-08-12 03:21:13.000,2023223.639734,2.00,10.50,217.9,15.90,3,0000-0000-0000
1001848,3070,2023-08-12 03:51:13.000,2023223.660567,2.00,12.17,220.4,15.50,3,0000-0000-0000
1001851,3070,2023-08-12 04:21:13.000,2023223.681400,2.00,11.56,222.0,14.50,3,0000-0000-0000
1001864,3070,2023-08-12 04:51:13.000,2023223.702234,2.00,10.61,224.4,13.50,3,0000-0000-0000
1001867,3070,2023-08-12 05:21:13.000,2023223.723067,2.00,12.08,230.5,15.90,3,0000-0000-0000
1001879,3070,2023-08-12 05:51:13.000,2023223.743900,2.00,11.01,224.7,15.30,3,0000-0000-0000
1001882,3070,2023-08-12 06:21:13.000,2023223.764734,2.00,8.96,223.2,12.80,3,0000-0000-0000
1001893,3070,2023-08-12 06:51:13.000,2023223.785567,2.00,8.88,224.2,12.40,3,0000-0000-0000
1001896,3070,2023-08-12 07:21:13.000,2023223.806400,2.00,7.88,222.5,11.40,3,0000-0000-0000
1001908,3070,2023-08-12 07:51:13.000,2023223.827234,2.00,7.97,222.1,9.80,3,0000-0000-0000
1001911,3070,2023-08-12 08:21:13.000,2023223.848067,2.00,6.93,226.1,10.00,3,0000-0000-0000
1001935,3070,2023-08-12 08:51:13.000,2023223.868900,2.00,5.60,215.1,8.30,3,0000-0000-0000
1001939,3070,2023-08-12 09:21:13.000,2023223.889734,2.00,5.54,229.2,7.70,3,0000-0000-0000
1001952,3070,2023-08-12 09:51:13.000,2023223.910567,2.00,4.70,205.2,6.30,3,0000-0000-0000
1001955,3070,2023-08-12 10:21:13.000,2023223.931400,2.00,6.24,202.2,9.60,3,0000-0000-0000
1001968,3070,2023-08-12 10:51:13.000,2023223.952234,2.00,6.14,214.8,8.30,3,0000-0000-0000
1001971,3070,2023-08-12 11:21:13.000,2023223.973067,2.00,4.72,228.3,7.80,3,0000-0000-0000
1001989,3070,2023-08-12 11:51:13.000,2023223.993900,2.00,1.72,222.1,3.00,3,0000-0000-0000
1001990,3070,2023-08-12 12:21:13.000,2023224.014734,2.00,0.80,78.5,1.30,3,0000-0000-0000
1002003,3070,2023-08-12 12:51:13.000,2023224.035567,2.00,1.46,68.7,2.20,3,0000-0000-0000
1002007,3070,2023-08-12 13:21:13.000,2023224.056400,2.00,4.03,53.4,5.30,3,0000-0000-0000
1002020,3070,2023-08-12 13:51:13.000,2023224.077234,2.00,5.97,70.4,7.30,3,0000-0000-0000
1002024,3070,2023-08-12 14:21:13.000,2023224.098067,2.00,1.68,56.2,3.60,3,0000-0000-0000
1002232,3070,2023-08-12 14:51:13.000,2023224.118900,2.00,4.74,27.7,6.30,3,0000-0000-0000
1002233,3070,2023-08-12 15:21:13.000,2023224.139734,2.00,5.38,11.5,7.00,3,0000-0000-0000
1002234,3070,2023-08-12 15:51:13.000,2023224.160567,2.00,4.89,11.8,6.30,3,0000-0000-0000
1002235,3070,2023-08-12 16:21:13.000,2023224.181400,2.00,4.68,16.3,5.80,3,0000-0000-0000
1002236,3070,2023-08-12 16:51:13.000,2023224.202234,2.00,3.72,60.6,5.50,3,0000-0000-0000
1002237,3070,2023-08-12 17:21:13.000,2023224.223067,2.00,0.96,32.3,2.00,3,0000-0000-0000
1002238,3070,2023-08-12 17:51:13.000,2023224.243900,2.00,0.41,332.0,0.80,3,0000-0000-0000
1002239,3070,2023-08-12 18:21:13.000,2023224.264734,2.00,2.71,218.9,4.20,3,0000-0000-0000
1002240,3070,2023-08-12 18:51:13.000,2023224.285567,2.00,2.88,216.8,4.10,3,0000-0000-0000
1002241,3070,2023-08-12 19:21:13.000,2023224.306400,2.00,2.13,227.3,3.00,3,0000-0000-0000
1002242,3070,2023-08-12 19:51:13.000,2023224.327234,2.00,4.01,226.7,5.60,3,0000-0000-0000
1002243,3070,2023-08-12 20:21:13.000,2023224.348067,2.00,4.14,238.8,5.80,3,0000-0000-0000
1002244,3070,2023-08-12 20:51:13.000,2023224.368900,2.00,5.39,239.0,7.30,3,0000-0000-0000
1002245,3070,2023-08-12 21:21:13.000,2023224.389734,2.00,3.63,275.5,5.70,3,0000-0000-0000
1002246,3070,2023-08-12 21:51:13.000,2023224.410567,2.00,3.64,227.0,4.90,3,0000-0000-0000
1002247,3070,2023-08-12 22:21:13.000,2023224.431400,2.00,5.09,243.3,6.40,3,0000-0000-0000
1002248,3070,2023-08-12 22:51:13.000,2023224.452234,2.00,5.67,255.9,6.80,3,0000-0000-0000
1002249,3070,2023-08-12 23:21:13.000,2023224.473067,2.00,5.64,233.2,8.20,3,0000-0000-0000
1002250,3070,2023-08-12 23:51:13.000,2023224.493900,2.00,3.55,248.2,4.60,3,0000-0000-0000
1002251,3070,2023-08-13 00:21:13.000,2023224.514734,2.00,4.47,269.8,6.40,3,0000-0000-0000
1002252,3070,2023-08-13 00:51:13.000,2023224.535567,2.00,4.64,247.0,6.10,3,0000-0000-0000
1002253,3070,2023-08-13 01:21:13.000,2023224.556400,2.00,7.67,248.9,9.30,3,0000-0000-0000
1002254,3070,2023-08-13 01:51:13.000,2023224.577234,2.00,3.99,231.2,5.40,3,0000-0000-0000
1002255,3070,2023-08-13 02:21:13.000,2023224.598067,2.00,5.11,215.0,6.90,3,0000-0000-0000
1002256,3070,2023-08-13 02:51:13.000,2023224.618900,2.00,1.38,185.4,2.60,3,0000-0000-0000
1002257,3070,2023-08-13 03:21:13.000,2023224.639734,2.00,3.50,210.9,4.90,3,0000-0000-0000
1002258,3070,2023-08-13 03:51:13.000,2023224.660567,2.00,7.55,217.6,10.20,3,0000-0000-0000
1002259,3070,2023-08-13 04:21:13.000,2023224.681400,2.00,6.76,215.8,8.80,3,0000-0000-0000
1002260,3070,2023-08-13 04:51:13.000,2023224.702234,2.00,6.13,233.7,8.80,3,0000-0000-0000
1002264,3070,2023-08-13 05:21:13.000,2023224.723067,2.00,9.49,224.9,12.30,3,0000-0000-0000
1002286,3070,2023-08-13 05:51:13.000,2023224.743900,2.00,8.24,235.7,10.20,3,0000-0000-0000
1002290,3070,2023-08-13 06:21:13.000,2023224.764734,2.00,4.85,246.3,6.60,3,0000-0000-0000
1002303,3070,2023-08-13 06:51:13.000,2023224.785567,2.00,5.78,225.8,7.50,3,0000-0000-0000
1002307,3070,2023-08-13 07:21:13.000,2023224.806400,2.00,11.01,236.0,13.90,3,0000-0000-0000
1002322,3070,2023-08-13 07:51:13.000,2023224.827234,2.00,10.13,229.7,12.40,3,0000-0000-0000
1002323,3070,2023-08-13 08:21:13.000,2023224.848067,2.00,7.16,229.3,9.40,3,0000-0000-0000
1002335,3070,2023-08-13 08:51:13.000,2023224.868900,2.00,6.40,216.0,8.30,3,0000-0000-0000
1002339,3070,2023-08-13 09:21:13.000,2023224.889734,2.00,5.34,218.3,7.40,3,0000-0000-0000
1002350,3070,2023-08-13 09:51:13.000,2023224.910567,2.00,5.31,209.3,8.00,3,0000-0000-0000
1002352,3070,2023-08-13 10:21:13.000,2023224.931400,2.00,3.44,195.1,6.10,3,0000-0000-0000
1002364,3070,2023-08-13 10:51:13.000,2023224.952234,2.00,3.37,214.8,4.70,3,0000-0000-0000
1002366,3070,2023-08-13 11:21:13.000,2023224.973067,2.00,2.99,181.9,4.60,3,0000-0000-0000
1002381,3070,2023-08-13 11:51:13.000,2023224.993900,2.00,2.70,130.7,3.70,3,0000-0000-0000
