time,value,dataType,region
2023-04-15T09:49:30.000Z,19.59,waterdata,bop
2023-04-15T10:49:30.000Z,19.57,waterdata,bop
2023-04-15T11:49:30.000Z,19.58,waterdata,bop
2023-04-15T12:49:30.000Z,19.6,waterdata,bop
2023-04-15T13:49:30.000Z,19.61,waterdata,bop
2023-04-15T14:49:30.000Z,19.62,waterdata,bop
2023-04-15T15:49:30.000Z,19.61,waterdata,bop
2023-04-15T16:49:30.000Z,19.61,waterdata,bop
2023-04-15T17:49:30.000Z,19.61,waterdata,bop
2023-04-15T18:49:30.000Z,19.57,waterdata,bop
2023-04-15T19:49:30.000Z,19.52,waterdata,bop
2023-04-15T20:49:30.000Z,19.5,waterdata,bop
2023-04-15T21:49:30.000Z,19.44,waterdata,bop
2023-04-15T22:49:30.000Z,19.42,waterdata,bop
2023-04-15T23:49:30.000Z,19.44,waterdata,bop
2023-04-16T00:49:30.000Z,19.39,waterdata,bop
2023-04-16T01:49:30.000Z,19.4,waterdata,bop
2023-04-16T02:49:30.000Z,19.34,waterdata,bop
2023-04-16T03:49:30.000Z,19.3,waterdata,bop
2023-04-16T04:49:30.000Z,19.29,waterdata,bop
2023-04-16T05:49:30.000Z,19.27,waterdata,bop
2023-04-16T06:49:30.000Z,19.25,waterdata,bop
2023-04-16T07:49:30.000Z,19.23,waterdata,bop
2023-04-16T08:49:30.000Z,19.25,waterdata,bop
2023-04-16T09:49:30.000Z,19.28,waterdata,bop
2023-04-16T10:49:30.000Z,19.35,waterdata,bop
2023-04-16T11:49:30.000Z,19.51,waterdata,bop
2023-04-16T12:49:30.000Z,19.63,waterdata,bop
2023-04-16T13:49:30.000Z,19.88,waterdata,bop
2023-04-16T14:49:30.000Z,19.84,waterdata,bop
2023-04-16T15:49:30.000Z,19.61,waterdata,bop
2023-04-16T16:49:30.000Z,19.58,waterdata,bop
2023-04-16T17:49:30.000Z,19.53,waterdata,bop
2023-04-16T18:49:30.000Z,19.49,waterdata,bop
2023-04-16T19:49:30.000Z,19.46,waterdata,bop
2023-04-16T20:49:30.000Z,19.43,waterdata,bop
2023-04-16T21:49:30.000Z,19.41,waterdata,bop
2023-04-16T22:49:30.000Z,19.37,waterdata,bop
2023-04-16T23:49:30.000Z,19.38,waterdata,bop
2023-04-17T00:49:30.000Z,19.34,waterdata,bop
2023-04-17T01:49:30.000Z,19.34,waterdata,bop
2023-04-17T02:49:30.000Z,19.34,waterdata,bop
2023-04-17T03:49:30.000Z,19.36,waterdata,bop
2023-04-17T04:49:30.000Z,19.34,waterdata,bop
2023-04-17T05:49:30.000Z,19.33,waterdata,bop
2023-04-17T06:49:30.000Z,19.35,waterdata,bop
2023-04-17T07:49:30.000Z,19.4,waterdata,bop
2023-04-17T08:49:30.000Z,19.43,waterdata,bop
2023-04-17T09:49:30.000Z,19.4,waterdata,bop
2023-04-17T10:49:30.000Z,19.46,waterdata,bop
2023-04-17T11:49:30.000Z,19.5,waterdata,bop
2023-04-17T12:49:30.000Z,19.54,waterdata,bop
2023-04-17T13:49:30.000Z,19.58,waterdata,bop
2023-04-17T14:49:30.000Z,19.66,waterdata,bop
2023-04-17T15:49:30.000Z,19.64,waterdata,bop
2023-04-17T16:49:30.000Z,19.57,waterdata,bop
2023-04-17T17:49:30.000Z,19.56,waterdata,bop
2023-04-17T18:49:30.000Z,19.54,waterdata,bop
2023-04-17T19:49:30.000Z,19.54,waterdata,bop
2023-04-17T20:49:30.000Z,19.53,waterdata,bop
2023-04-17T21:49:30.000Z,19.54,waterdata,bop
2023-04-17T22:49:30.000Z,19.54,waterdata,bop
2023-04-17T23:49:30.000Z,19.54,waterdata,bop
2023-04-18T00:49:30.000Z,19.53,waterdata,bop
2023-04-18T01:49:30.000Z,19.52,waterdata,bop
2023-04-18T02:49:30.000Z,19.51,waterdata,bop
2023-04-18T03:49:30.000Z,19.49,waterdata,bop
2023-04-18T04:49:30.000Z,19.49,waterdata,bop
2023-04-18T05:49:30.000Z,19.49,waterdata,bop
2023-04-18T06:49:30.000Z,19.48,waterdata,bop
2023-04-18T07:49:30.000Z,19.48,waterdata,bop
2023-04-18T08:49:30.000Z,19.5,waterdata,bop
2023-04-18T09:49:30.000Z,19.5,waterdata,bop
2023-04-18T10:49:30.000Z,19.49,waterdata,bop
2023-04-18T11:49:30.000Z,19.51,waterdata,bop
2023-04-18T12:49:30.000Z,19.54,waterdata,bop
2023-04-18T13:49:30.000Z,19.56,waterdata,bop
2023-04-18T14:49:30.000Z,19.56,waterdata,bop
2023-04-18T15:49:30.000Z,19.55,waterdata,bop
2023-04-18T16:49:30.000Z,19.55,waterdata,bop
2023-04-18T17:49:30.000Z,19.54,waterdata,bop
2023-04-18T18:49:30.000Z,19.53,waterdata,bop
2023-04-18T19:49:30.000Z,19.53,waterdata,bop
2023-04-18T20:49:30.000Z,19.52,waterdata,bop
2023-04-18T21:49:30.000Z,19.52,waterdata,bop
2023-04-18T22:49:30.000Z,19.51,waterdata,bop
2023-04-18T23:49:30.000Z,19.51,waterdata,bop
2023-04-19T00:49:30.000Z,19.51,waterdata,bop
2023-04-19T01:49:30.000Z,19.52,waterdata,bop
2023-04-19T02:49:30.000Z,19.53,waterdata,bop
2023-04-19T03:49:30.000Z,19.54,waterdata,bop
2023-04-19T04:49:30.000Z,19.56,waterdata,bop
2023-04-19T05:49:30.000Z,19.55,waterdata,bop
2023-04-19T06:49:30.000Z,19.54,waterdata,bop
2023-04-19T07:49:30.000Z,19.53,waterdata,bop
2023-04-19T08:49:30.000Z,19.52,waterdata,bop
2023-04-19T09:49:30.000Z,19.52,waterdata,bop
2023-04-19T10:49:30.000Z,19.53,waterdata,bop
2023-04-19T11:49:30.000Z,19.54,waterdata,bop
2023-04-19T12:49:30.000Z,19.58,waterdata,bop
2023-04-19T13:49:30.000Z,19.61,waterdata,bop
2023-04-19T14:49:30.000Z,19.65,waterdata,bop
2023-04-19T15:49:30.000Z,19.66,waterdata,bop
2023-04-19T16:49:30.000Z,19.66,waterdata,bop
2023-04-19T17:49:30.000Z,19.64,waterdata,bop
2023-04-19T18:49:30.000Z,19.58,waterdata,bop
2023-04-19T19:49:30.000Z,19.56,waterdata,bop
2023-04-19T20:49:30.000Z,19.53,waterdata,bop
2023-04-19T21:49:30.000Z,19.53,waterdata,bop
2023-04-19T22:49:30.000Z,19.53,waterdata,bop
2023-04-19T23:49:30.000Z,19.53,waterdata,bop
2023-04-20T00:49:30.000Z,19.54,waterdata,bop
2023-04-20T01:49:30.000Z,19.56,waterdata,bop
2023-04-20T02:49:30.000Z,19.54,waterdata,bop
2023-04-20T03:49:30.000Z,19.52,waterdata,bop
2023-04-20T04:49:30.000Z,19.51,waterdata,bop
2023-04-20T05:49:30.000Z,19.49,waterdata,bop
2023-04-20T06:49:30.000Z,19.5,waterdata,bop
2023-04-20T07:49:30.000Z,19.51,waterdata,bop
2023-04-20T08:49:30.000Z,19.5,waterdata,bop
2023-04-20T09:49:30.000Z,19.54,waterdata,bop
2023-04-20T10:49:30.000Z,19.61,waterdata,bop
2023-04-20T11:49:30.000Z,19.71,waterdata,bop
2023-04-20T12:49:30.000Z,19.77,waterdata,bop
2023-04-20T13:49:30.000Z,19.84,waterdata,bop
2023-04-20T14:49:30.000Z,19.94,waterdata,bop
2023-04-20T15:49:30.000Z,19.95,waterdata,bop
2023-04-20T16:49:30.000Z,19.81,waterdata,bop
2023-04-20T17:49:30.000Z,19.8,waterdata,bop
2023-04-20T18:49:30.000Z,19.8,waterdata,bop
2023-04-20T19:49:30.000Z,19.84,waterdata,bop
2023-04-20T20:49:30.000Z,19.85,waterdata,bop
2023-04-20T21:49:30.000Z,19.84,waterdata,bop
2023-04-20T22:49:30.000Z,19.83,waterdata,bop
2023-04-20T23:49:30.000Z,19.83,waterdata,bop
2023-04-21T00:49:30.000Z,19.82,waterdata,bop
2023-04-21T01:49:30.000Z,19.82,waterdata,bop
2023-04-21T02:49:30.000Z,19.8,waterdata,bop
2023-04-21T03:49:30.000Z,19.72,waterdata,bop
2023-04-21T04:49:30.000Z,19.69,waterdata,bop
2023-04-21T05:49:30.000Z,19.69,waterdata,bop
2023-04-21T06:49:30.000Z,19.69,waterdata,bop
2023-04-21T07:49:30.000Z,19.68,waterdata,bop
2023-04-21T08:49:30.000Z,19.69,waterdata,bop
2023-04-21T09:49:30.000Z,19.7,waterdata,bop
2023-04-21T10:49:30.000Z,19.72,waterdata,bop
2023-04-21T11:49:30.000Z,19.75,waterdata,bop
2023-04-26T12:00:00.000Z,19.01,waterdata,bop
2023-04-26T13:00:00.000Z,19.04,waterdata,bop
2023-04-26T14:00:00.000Z,18.69,waterdata,bop
2023-04-26T15:00:00.000Z,18.5,waterdata,bop
2023-04-26T16:00:00.000Z,18.58,waterdata,bop
2023-04-26T17:00:00.000Z,18.65,waterdata,bop
2023-04-26T18:00:00.000Z,18.74,waterdata,bop
2023-04-26T19:00:00.000Z,18.92,waterdata,bop
2023-04-26T20:00:00.000Z,19.06,waterdata,bop
2023-04-26T21:00:00.000Z,19.04,waterdata,bop
2023-04-26T22:00:00.000Z,19.05,waterdata,bop
2023-04-26T23:00:00.000Z,19.09,waterdata,bop
2023-04-27T00:00:00.000Z,19.07,waterdata,bop
2023-04-27T01:00:00.000Z,19.1,waterdata,bop
2023-04-27T02:00:00.000Z,19.11,waterdata,bop
2023-04-27T03:00:00.000Z,19.13,waterdata,bop
2023-04-27T04:00:00.000Z,19.17,waterdata,bop
2023-04-27T05:00:00.000Z,19.16,waterdata,bop
2023-04-27T06:00:00.000Z,19.16,waterdata,bop
2023-04-27T07:00:00.000Z,19.17,waterdata,bop
2023-04-27T08:00:00.000Z,19.11,waterdata,bop
2023-04-27T09:00:00.000Z,19.11,waterdata,bop
2023-04-27T10:00:00.000Z,19.13,waterdata,bop
2023-04-27T11:00:00.000Z,19.16,waterdata,bop
2023-04-27T12:00:00.000Z,19.24,waterdata,bop
2023-04-27T13:00:00.000Z,19.3,waterdata,bop
2023-04-27T14:00:00.000Z,19.33,waterdata,bop
2023-04-27T15:00:00.000Z,19.37,waterdata,bop
2023-04-27T16:00:00.000Z,19.33,waterdata,bop
2023-04-27T17:00:00.000Z,19.26,waterdata,bop
2023-04-27T18:00:00.000Z,19.2,waterdata,bop
2023-04-27T19:00:00.000Z,19.18,waterdata,bop
2023-04-27T20:00:00.000Z,19.18,waterdata,bop
2023-04-27T21:00:00.000Z,19.17,waterdata,bop
2023-04-27T22:00:00.000Z,19.1,waterdata,bop
2023-04-27T23:00:00.000Z,19.06,waterdata,bop
2023-04-28T00:00:00.000Z,19.06,waterdata,bop
2023-04-28T01:00:00.000Z,19.03,waterdata,bop
2023-04-28T02:00:00.000Z,19.03,waterdata,bop
2023-04-28T03:00:00.000Z,19.02,waterdata,bop
2023-04-28T04:00:00.000Z,19.0,waterdata,bop
2023-04-28T05:00:00.000Z,18.99,waterdata,bop
2023-04-28T06:00:00.000Z,18.95,waterdata,bop
2023-04-28T07:00:00.000Z,18.96,waterdata,bop
2023-04-28T08:00:00.000Z,18.95,waterdata,bop
2023-04-28T09:00:00.000Z,18.96,waterdata,bop
2023-04-28T10:00:00.000Z,18.96,waterdata,bop
2023-04-28T11:00:00.000Z,18.95,waterdata,bop
2023-04-28T12:00:00.000Z,18.77,waterdata,bop
2023-04-28T13:00:00.000Z,18.9,waterdata,bop
2023-04-28T14:00:00.000Z,18.94,waterdata,bop
2023-04-28T15:00:00.000Z,18.93,waterdata,bop
2023-04-28T16:00:00.000Z,18.93,waterdata,bop
2023-04-28T17:00:00.000Z,18.88,waterdata,bop
2023-04-28T18:00:00.000Z,18.97,waterdata,bop
2023-04-28T19:00:00.000Z,18.91,waterdata,bop
2023-04-28T20:00:00.000Z,18.83,waterdata,bop
2023-04-28T21:00:00.000Z,18.84,waterdata,bop
2023-04-28T22:00:00.000Z,18.81,waterdata,bop
2023-04-28T23:00:00.000Z,18.78,waterdata,bop
2023-04-29T00:00:00.000Z,18.75,waterdata,bop
2023-04-29T01:00:00.000Z,18.8,waterdata,bop
2023-04-29T02:00:00.000Z,18.78,waterdata,bop
2023-04-29T03:00:00.000Z,18.78,waterdata,bop
2023-04-29T04:00:00.000Z,18.79,waterdata,bop
2023-04-29T05:00:00.000Z,18.72,waterdata,bop
2023-04-29T06:00:00.000Z,18.67,waterdata,bop
2023-04-29T07:00:00.000Z,18.68,waterdata,bop
2023-04-29T08:00:00.000Z,18.67,waterdata,bop
2023-04-29T09:00:00.000Z,18.71,waterdata,bop
2023-04-29T10:00:00.000Z,18.77,waterdata,bop
2023-04-29T11:00:00.000Z,18.85,waterdata,bop
2023-04-29T12:00:00.000Z,18.88,waterdata,bop
2023-04-29T13:00:00.000Z,19.0,waterdata,bop
2023-04-29T14:00:00.000Z,19.01,waterdata,bop
2023-04-29T15:00:00.000Z,18.95,waterdata,bop
2023-04-29T16:00:00.000Z,18.86,waterdata,bop
2023-04-29T17:00:00.000Z,18.82,waterdata,bop
2023-04-29T18:00:00.000Z,18.83,waterdata,bop
2023-04-29T19:00:00.000Z,18.85,waterdata,bop
2023-04-29T20:00:00.000Z,18.86,waterdata,bop
2023-04-29T21:00:00.000Z,18.8,waterdata,bop
2023-04-29T22:00:00.000Z,18.77,waterdata,bop
2023-04-29T23:00:00.000Z,18.69,waterdata,bop
2023-04-30T00:00:00.000Z,18.7,waterdata,bop
2023-04-30T01:00:00.000Z,18.62,waterdata,bop
2023-04-30T02:00:00.000Z,18.58,waterdata,bop
2023-04-30T03:00:00.000Z,18.55,waterdata,bop
2023-04-30T04:00:00.000Z,18.55,waterdata,bop
2023-04-30T05:00:00.000Z,18.55,waterdata,bop
2023-04-30T06:00:00.000Z,18.54,waterdata,bop
2023-04-30T07:00:00.000Z,18.54,waterdata,bop
2023-04-30T08:00:00.000Z,18.53,waterdata,bop
2023-04-30T09:00:00.000Z,18.53,waterdata,bop
2023-04-30T10:00:00.000Z,18.54,waterdata,bop
2023-04-30T11:00:00.000Z,18.72,waterdata,bop
2023-04-30T12:00:00.000Z,18.75,waterdata,bop
2023-04-30T13:00:00.000Z,18.78,waterdata,bop
2023-04-30T14:00:00.000Z,18.74,waterdata,bop
2023-04-30T15:00:00.000Z,18.69,waterdata,bop
2023-04-30T16:00:00.000Z,18.64,waterdata,bop
2023-04-30T17:00:00.000Z,18.59,waterdata,bop
2023-04-30T18:00:00.000Z,18.59,waterdata,bop
2023-04-30T19:00:00.000Z,18.6,waterdata,bop
2023-04-30T20:00:00.000Z,18.6,waterdata,bop
2023-04-30T21:00:00.000Z,18.61,waterdata,bop
2023-04-30T22:00:00.000Z,18.66,waterdata,bop
2023-04-30T23:00:00.000Z,18.67,waterdata,bop
2023-05-01T00:00:00.000Z,18.71,waterdata,bop
2023-05-01T01:00:00.000Z,18.71,waterdata,bop
2023-05-01T02:00:00.000Z,18.74,waterdata,bop
2023-05-01T03:00:00.000Z,18.72,waterdata,bop
