time,value,dataType,region
2023-08-15T00:34:00.000Z,10.41,waterdata,tb
2023-08-15T00:49:00.000Z,10.41,waterdata,tb
2023-08-15T01:04:00.000Z,10.42,waterdata,tb
2023-08-15T01:19:00.000Z,10.42,waterdata,tb
2023-08-15T01:34:00.000Z,10.41,waterdata,tb
2023-08-15T01:49:00.000Z,10.41,waterdata,tb
2023-08-15T02:04:00.000Z,10.39,waterdata,tb
2023-08-15T02:19:00.000Z,10.39,waterdata,tb
2023-08-15T02:34:00.000Z,10.5,waterdata,tb
2023-08-15T02:49:00.000Z,10.5,waterdata,tb
2023-08-15T03:04:00.000Z,10.49,waterdata,tb
2023-08-15T03:19:00.000Z,10.49,waterdata,tb
2023-08-15T03:34:00.000Z,11.88,waterdata,tb
2023-08-15T03:49:00.000Z,11.88,waterdata,tb
2023-08-15T04:04:00.000Z,11.34,waterdata,tb
2023-08-15T04:19:00.000Z,11.34,waterdata,tb
2023-08-15T04:34:00.000Z,11.27,waterdata,tb
2023-08-15T04:49:00.000Z,11.27,waterdata,tb
2023-08-15T05:04:00.000Z,10.95,waterdata,tb
2023-08-15T05:19:00.000Z,10.95,waterdata,tb
2023-08-15T05:34:00.000Z,10.84,waterdata,tb
2023-08-15T05:49:00.000Z,10.84,waterdata,tb
2023-08-15T06:04:00.000Z,10.68,waterdata,tb
2023-08-15T06:19:00.000Z,10.68,waterdata,tb
2023-08-15T06:34:00.000Z,10.52,waterdata,tb
2023-08-15T06:49:00.000Z,10.52,waterdata,tb
2023-08-15T07:04:00.000Z,10.48,waterdata,tb
2023-08-15T07:19:00.000Z,10.48,waterdata,tb
2023-08-15T07:34:00.000Z,10.48,waterdata,tb
2023-08-15T07:49:00.000Z,10.48,waterdata,tb
2023-08-15T08:04:00.000Z,10.49,waterdata,tb
2023-08-15T08:19:00.000Z,10.49,waterdata,tb
2023-08-15T08:34:00.000Z,10.69,waterdata,tb
2023-08-15T08:34:02.000Z,11.0,waterdata,tb
2023-08-15T08:49:00.000Z,10.69,waterdata,tb
2023-08-15T08:49:02.000Z,11.06,waterdata,tb
2023-08-15T09:04:00.000Z,10.7,waterdata,tb
2023-08-15T09:04:02.000Z,11.03,waterdata,tb
2023-08-15T09:19:00.000Z,10.7,waterdata,tb
2023-08-15T09:19:02.000Z,11.09,waterdata,tb
2023-08-15T09:34:00.000Z,11.41,waterdata,tb
2023-08-15T09:34:02.000Z,11.03,waterdata,tb
2023-08-15T09:49:00.000Z,11.41,waterdata,tb
